chbtil, q, a, CLs, low_err, upper_err
0, 0, 1, 1, 0, 0
1, 0.012732381972588414, 0.9101591044464771, 0.94137321, 0.049416946819083485, 0.03669846842924551
2, 0.04570302179435615, 0.8307165548282078, 0.88635235, 0.08880146605825145, 0.06961642600654139
3, 0.10319996097252027, 0.7480228328063037, 0.86441115, 0.10271377995115993, 0.08230565787138544
4, 0.16236377343447472, 0.6869895070979253, 0.80337519, 0.13629395229739905, 0.11619943423069379
5, 0.2363647845575345, 0.6268440763570554, 0.68718379, 0.18070090648960446, 0.174357440319437
6, 0.3466537420117115, 0.5560135053496018, 0.72194654, 0.16998185256546772, 0.15790463295969992
7, 0.4250272085991016, 0.5144391644586606, 0.73396586, 0.16577620532293158, 0.15202014008536135
8, 0.5223761815537857, 0.4698298269628782, 0.66670852, 0.18602828930266768, 0.18363729005336626
9, 0.6534662950128114, 0.41887610804911046, 0.50032145, 0.2036601970513846, 0.2458576375781255
10, 0.7370285228389593, 0.39061441402383923, 0.51902416, 0.2038733205296745, 0.2401904856773075
11, 0.8786642632172503, 0.34856778806421485, 0.48965149, 0.2032981434487321, 0.24891763419062474
12, 1.045703317448969, 0.30649873090096735, 0.47213318, 0.20232779228096004, 0.2536572702969466
13, 1.1305634822093902, 0.28765517903940085, 0.30156803, 0.16906444402111245, 0.27703751085861805
14, 1.2462730088654306, 0.26426550804877613, 0.25197297, 0.1514176084112063, 0.27353133573280575
15, 1.3828680482649967, 0.23961321790814105, 0.42778146, 0.19780507833988817, 0.2639653083274225
16, 1.530745114291297, 0.21600065081545095, 0.27191800, 0.1589459846844737, 0.2756643983055187
17, 1.6965400591981057, 0.19274108422913105, 0.20425034, 0.13102296474138098, 0.2637611784996818
18, 1.8603223183296276, 0.17258760471839152, 0.13401626, 0.0947053692953167, 0.23335192873843064
19, 1.9621188512180128, 0.16128689232682536, 0.22049787, 0.13834661237822726, 0.26789856624654185
20, 2.1832035389097095, 0.13952377611919475, 0.08370729, 0.06372145237732874, 0.19302445978817934
21, 2.2919463370520488, 0.1300467533013694, NaN, NaN, NaN
22, 2.4748840497865148, 0.11567797358407006, NaN, NaN, NaN
23, 2.6059806420153224, 0.10646128551282441, 0.18622408, 0.12243174043791596, 0.2580527344084995
24, 2.747646926022873, 0.09739767125314958, NaN, NaN, NaN
25, 2.947997797840377, 0.08598402474850553, 0.05110369, 0.04110877786088076, 0.15202552150455323
26, 3.066769625839238, 0.0799081132555497, NaN, NaN, NaN
27, 3.132700614800439, 0.0767365240707315, 0.19096740, 0.1247402587447438, 0.25967628153738553
28, 3.3857750960812405, 0.0657612522550527, NaN, NaN, NaN
29, 3.3878396444283885, 0.06567895145919789, 0.13399589, 0.09469370425996597, 0.23333944606200327
30, 3.7457787759484473, 0.05294105142111227, NaN, NaN, NaN
31, 3.84545389047003, 0.04988101899337083, NaN, NaN, NaN
32, 4.014520661444611, 0.04511004457387102, NaN, NaN, NaN
33, 4.15507638769349, 0.04150990150567979, NaN, NaN, NaN
34, 4.304138975550358, 0.03801973661248559, 0.08107908, 0.06197769059134969, 0.19027153223461163
35, 4.484834989900116, 0.03419684752070351, NaN, NaN, NaN
